part_id,defect_type,inspector_note
0000,스크래치,연마 흔적 있음 재검 요망
0001,양품,육안 검사 통과
0002,스크래치,스크래치 깊이 측정 필요
0003,양품,정상 상태 확인 완료
0004,양품,외관 양호 이상 없음
0005,크랙,미세 균열 발견 즉시 교체
0006,크랙,열응력 균열 의심
0007,양품,육안 검사 통과
0008,양품,정상 상태 확인 완료
0009,변색,도금 벗겨짐 변색 발생
0010,양품,육안 검사 통과
0011,양품,정상 상태 확인 완료
0012,크랙,열응력 균열 의심
0013,양품,외관 양호 이상 없음
0014,스크래치,스크래치 깊이 측정 필요
0015,크랙,미세 균열 발견 즉시 교체
0016,이물질,오일 잔여물 있음
0017,양품,양품 판정 기준 충족
0018,스크래치,연마 흔적 있음 재검 요망
0019,크랙,열응력 균열 의심
0020,이물질,오일 잔여물 있음
0021,이물질,금속 파편 부착 확인
0022,양품,육안 검사 통과
0023,스크래치,표면에 미세 스크래치 발견
0024,양품,양품 판정 기준 충족
0025,변색,산화에 의한 변색 의심
0026,이물질,오일 잔여물 있음
0027,양품,육안 검사 통과
0028,양품,표면 깨끗함 합격 처리
0029,스크래치,스크래치 깊이 측정 필요
0030,이물질,이물질 오염 불량 판정
0031,스크래치,스크래치 깊이 측정 필요
0032,변색,부분 변색 발견 원인 분석 필요
0033,양품,표면 깨끗함 합격 처리
0034,양품,외관 양호 이상 없음
0035,스크래치,경미한 긁힘 있음 확인 필요
0036,크랙,표면 크랙 확인 불량 판정
0037,양품,양품 판정 기준 충족
0038,양품,육안 검사 통과
0039,양품,표면 상태 우수
0040,크랙,표면 크랙 확인 불량 판정
0041,양품,양품 판정 기준 충족
0042,이물질,오일 잔여물 있음
0043,양품,정상 상태 확인 완료
0044,양품,외관 양호 이상 없음
0045,양품,양품 판정 기준 충족
0046,양품,정상 상태 확인 완료
0047,양품,정상 상태 확인 완료
0048,크랙,크랙 진행 방향 확인 필요
0049,양품,외관 양호 이상 없음
0050,양품,양품 판정 기준 충족
0051,양품,표면 깨끗함 합격 처리
0052,양품,표면 깨끗함 합격 처리
0053,크랙,열응력 균열 의심
0054,양품,표면 깨끗함 합격 처리
0055,양품,정상 상태 확인 완료
0056,양품,표면 상태 우수
0057,양품,육안 검사 통과
0058,양품,육안 검사 통과
0059,양품,표면 상태 우수
0060,이물질,이물질 부착 발견 세척 필요
0061,양품,정상 상태 확인 완료
0062,스크래치,스크래치 깊이 측정 필요
0063,이물질,이물질 부착 발견 세척 필요
0064,양품,외관 양호 이상 없음
0065,양품,외관 양호 이상 없음
0066,변색,열처리 불량 변색 확인
0067,양품,표면 깨끗함 합격 처리
0068,양품,외관 양호 이상 없음
69,크랙,표면 크랙 확인 불량 판정
0070,스크래치,경미한 긁힘 있음 확인 필요
0071,스크래치,경미한 긁힘 있음 확인 필요
0072,양품,외관 양호 이상 없음
0073,양품,외관 양호 이상 없음
74,스크래치,경미한 긁힘 있음 확인 필요
0075,스크래치,경미한 긁힘 있음 확인 필요
0076,양품,육안 검사 통과
0077,양품,표면 깨끗함 합격 처리
0078,변색,도금 벗겨짐 변색 발생
0079,변색,도금 벗겨짐 변색 발생
0080,양품,외관 양호 이상 없음
0081,양품,외관 양호 이상 없음
0082,이물질,이물질 오염 불량 판정
0083,양품,육안 검사 통과
0084,스크래치,경미한 긁힘 있음 확인 필요
0085,양품,외관 양호 이상 없음
0086,양품,표면 상태 우수
0087,크랙,미세 균열 발견 즉시 교체
0088,스크래치,경미한 긁힘 있음 확인 필요
0089,양품,육안 검사 통과
0090,크랙,표면 크랙 확인 불량 판정
0091,변색,산화에 의한 변색 의심
0092,스크래치,경미한 긁힘 있음 확인 필요
0093,스크래치,표면에 미세 스크래치 발견
0094,변색,산화에 의한 변색 의심
0095,스크래치,스크래치 깊이 측정 필요
0096,양품,양품 판정 기준 충족
0097,양품,표면 상태 우수
0098,변색,도금 벗겨짐 변색 발생
0099,양품,육안 검사 통과
0100,양품,표면 깨끗함 합격 처리
0101,변색,산화에 의한 변색 의심
0102,양품,외관 양호 이상 없음
0103,스크래치,경미한 긁힘 있음 확인 필요
0104,스크래치,스크래치 깊이 측정 필요
105,양품,정상 상태 확인 완료
0106,스크래치,경미한 긁힘 있음 확인 필요
0107,양품,정상 상태 확인 완료
0108,스크래치,스크래치 깊이 측정 필요
0109,양품,표면 상태 우수
0110,양품 ,표면 상태 우수
0111,  크랙  ,열응력 균열 의심
0112,스크래치,연마 흔적 있음 재검 요망
0113,양품,표면 깨끗함 합격 처리
0114,변색,열처리 불량 변색 확인
0115,양품,양품 판정 기준 충족
0116,  양품  ,외관 양호 이상 없음
0117,양품,육안 검사 통과
0118,양품,외관 양호 이상 없음
0119,양품,표면 깨끗함 합격 처리
0120,양품,육안 검사 통과
0121,양품 ,육안 검사 통과
0122,스크래치,연마 흔적 있음 재검 요망
0123,양품,표면 상태 우수
0124,양품,외관 양호 이상 없음
125,양품,육안 검사 통과
0126,크랙,열응력 균열 의심
0127,양품,외관 양호 이상 없음
0128,양품,양품 판정 기준 충족
0129, 스크래치,표면에 미세 스크래치 발견
0130,양품,
0131,양품,표면 깨끗함 합격 처리
0132,변색,도금 벗겨짐 변색 발생
0133,양품,표면 깨끗함 합격 처리
0134,양품,육안 검사 통과
0135,양품 ,양품 판정 기준 충족
0136,양품 ,양품 판정 기준 충족
0137,양품,표면 상태 우수
0138,양품,표면 상태 우수
0139,양품,표면 상태 우수
0140,양품 ,양품 판정 기준 충족
0141,양품,표면 깨끗함 합격 처리
0142,이물질,오일 잔여물 있음
0143,양품,육안 검사 통과
0144,양품,육안 검사 통과
0145,양품,표면 상태 우수
0146,양품,정상 상태 확인 완료
0147,양품,육안 검사 통과
0148,양품,정상 상태 확인 완료
0149,변색 ,산화에 의한 변색 의심
0150,양품,외관 양호 이상 없음
0151,양품,양품 판정 기준 충족
0152,양품,양품 판정 기준 충족
0153,양품,정상 상태 확인 완료
0154,변색,산화에 의한 변색 의심
0155,스크래치,표면에 미세 스크래치 발견
156,양품,외관 양호 이상 없음
0157,양품,정상 상태 확인 완료
0158,크랙,열응력 균열 의심
0159,양품,육안 검사 통과
0160, 양품,육안 검사 통과
0161,스크래치,스크래치 깊이 측정 필요
0162,변색,부분 변색 발견 원인 분석 필요
0163, 양품,표면 깨끗함 합격 처리
0164,변색,산화에 의한 변색 의심
0165,변색,부분 변색 발견 원인 분석 필요
0166,양품,정상 상태 확인 완료
0167,양품,양품 판정 기준 충족
0168,변색,도금 벗겨짐 변색 발생
0169,양품,표면 상태 우수
0170,양품,표면 상태 우수
0171, 양품,양품 판정 기준 충족
