text,label
주변에 추천합니다 정말 좋은 제품,1.0
주변에 추천합니다 정말 좋은 제품,1.0
기대 이상으로 훌륭하다,1.0
편리합니다!,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
포장이 느슨하다 하지만 제품은 예쁘다 만족합니다,1.0
포장이 깔끔하다 상태 좋은,1.0
포장이 깔끔하다 상태 좋은,1.0
배송이 빠르다 포장도 깔끔하다,1.0
색감이 예쁘다 소재도 좋습니다,1.0
추천합니다 편리하다,1.0
사이즈 딱 맞고 만족,1.0
완벽한 제품,1.0
색감이 예쁘다 소재도 좋습니다,1.0
추천합니다 편리하다,1.0
추천합니다 편리하다,1.0
가성비 매우 좋다 재구매,1.0
디자인이 좋은 가격도 만족,1.0
디자인 예쁘다 품질도 좋습니다 만족스럽다,1.0
사용하기 편리하다 품질도 좋다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
안 나쁘다 추천합니다,1.0
안 나쁘다 추천합니다,1.0
사이즈 딱 맞고 만족,1.0
상당히 나쁩니다 불만입니다,0.0
편리합니다!,1.0
사이즈 딱 맞고 만족,1.0
주변에 추천합니다 정말 좋은 제품,1.0
디자인이 좋은 가격도 만족,1.0
디자인이 좋은 가격도 만족,1.0
포장 불량 제품 나쁘다 불만입니다,0.0
사이즈 딱 맞고 만족,1.0
기대 이상으로 훌륭하다,1.0
안 나쁘다 추천합니다,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
냄새 불편하다,0.0
포장이 깔끔하다 상태 좋은,1.0
사용하기 편리하다 품질도 좋다,1.0
추천합니다 편리하다,1.0
디자인이 좋은 가격도 만족,1.0
가성비 매우 좋다 재구매,1.0
안 나쁘다 만족합니다 추천합니다,1.0
추천합니다 편리하다,1.0
포장이 깔끔하다 상태 좋은,1.0
주변에 추천합니다 정말 좋은 제품,1.0
사이즈 딱 맞고 만족,1.0
배송이 빠르다 포장도 깔끔하다,1.0
안 추천합니다 나쁘다,0.0
못 쓰겠다 매우 나쁘다,0.0
사용하기 편리하다 품질도 좋다,1.0
디자인이 좋은 가격도 만족,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
주변에 추천합니다 정말 좋은 제품,1.0
안 괜찮다 불편하다 실망입니다,0.0
색감이 예쁘다 소재도 좋습니다,1.0
안 나쁘다 추천합니다,1.0
포장이 깔끔하다 상태 좋은,1.0
훌륭합니다!,1.0
추천합니다 편리하다,1.0
디자인이 좋은 가격도 만족,1.0
정말 훌륭하다 품질 최고,1.0
보통입니다 그냥 그래요,
추천합니다 편리하다,1.0
못 쓰겠다 매우 나쁘다,0.0
기대 이상으로 훌륭하다,1.0
안 나쁘다 추천합니다,1.0
않 실망입니다 추천합니다,1.0
사용하기 편리하다 품질도 좋다,1.0
제품 품질이 매우 나쁘다 실망입니다,0.0
주변에 추천합니다 정말 좋은 제품,1.0
디자인이 좋은 가격도 만족,1.0
사용하기 편리하다 품질도 좋다,1.0
무게는 가볍다 하지만 품질이 불량 후회합니다,0.0
사용하기 편리하다 품질도 좋다,1.0
추천합니다 편리하다,1.0
디자인이 좋은 가격도 만족,1.0
색감이 예쁘다 소재도 좋습니다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
못 쓰겠다 최악입니다,0.0
추천합니다 편리하다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
만족합니다!,1.0
가성비 매우 좋다 재구매,1.0
안 나쁘다 추천합니다,1.0
추천합니다 편리하다,1.0
종류 다양하고 추천합니다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
안 나쁘다 추천합니다,1.0
기대 이상으로 훌륭하다,1.0
주변에 추천합니다 정말 좋은 제품,1.0
설명서 좋다 하지만 사용이 불편하다 실망합니다,0.0
제품 품질이 좋습니다 배송도 빠르다,1.0
사이즈 딱 맞고 만족,1.0
주변에 추천합니다 정말 좋은 제품,1.0
추천합니다 편리하다,1.0
주변에 추천합니다 정말 좋은 제품,1.0
포장은 좋은 편이다 하지만 제품이 불량 실망합니다,0.0
제품 품질이 좋습니다 배송도 빠르다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
주변에 추천합니다 정말 좋은 제품,1.0
정말 후회합니다 환불 원합니다,0.0
색감이 예쁘다 소재도 좋습니다,1.0
매우 빠른 배송 만족합니다,1.0
추천합니다 편리하다,1.0
별로입니다 실망,0.0
좋습니다!,1.0
주변에 추천합니다 정말 좋은 제품,1.0
색감이 예쁘다 소재도 좋습니다,1.0
색감이 예쁘다 소재도 좋습니다,1.0
정말 불만 후회합니다,0.0
안 좋다 불편하다,0.0
사용하기 편리하다 품질도 좋다,1.0
못 쓰겠다 매우 나쁘다,0.0
사이즈 딱 맞고 만족,1.0
기대 이상으로 훌륭하다,1.0
질감 부드럽고 좋습니다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
디자인이 좋은 가격도 만족,1.0
안 나쁘다 추천합니다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
색감이 예쁘다 소재도 좋습니다,1.0
못 나쁘다 괜찮다 추천합니다,1.0
포장이 깔끔하다 상태 좋은,1.0
사용하기 편리하다 품질도 좋다,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
진짜 최고입니다!,1.0
못 쓰겠다 매우 나쁘다,0.0
품질 최악입니다 포장도 불량 후회합니다,0.0
배송이 빠르다 포장도 깔끔하다,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
사이즈 딱 맞고 만족,1.0
색감이 예쁘다 소재도 좋습니다,1.0
배송이 빠르다 포장도 깔끔하다,1.0
만족스럽다,1.0
사이즈 딱 맞고 만족,1.0
주변에 추천합니다 정말 좋은 제품,1.0
안 나쁘다 추천합니다,1.0
색감이 예쁘다 소재도 좋습니다,1.0
포장이 깔끔하다 상태 좋은,1.0
매우 불편하다 실망입니다,0.0
사이즈 딱 맞고 만족,1.0
기대 이상으로 훌륭하다,1.0
사이즈 딱 맞고 만족,1.0
제품 품질이 매우 나쁘다 실망입니다,0.0
기대 이상으로 훌륭하다,1.0
배송이 느리다 하지만 제품 완벽한 만족합니다,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
추천합니다 편리하다,1.0
사이즈 딱 맞고 만족,1.0
좋습니다.,1.0
주변에 추천합니다 정말 좋은 제품,1.0
별로입니다 실망,0.0
안 실망이다 만족합니다,1.0
제품 품질이 매우 나쁘다 실망입니다,0.0
사이즈 딱 맞고 만족,1.0
제품 품질이 매우 나쁘다 실망입니다,0.0
가성비 매우 좋다 재구매,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
안 나쁘다 괜찮다,1.0
주변에 추천합니다 정말 좋은 제품,1.0
포장이 깔끔하다 상태 좋은,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
기대 이상으로 훌륭하다,1.0
사용하기 편리하다 품질도 좋다,1.0
구성 알차고 만족합니다,1.0
한달 만에 고장 최악,0.0
사이즈 딱 맞고 만족,1.0
사이즈 딱 맞고 만족,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
사이즈 딱 맞고 만족,1.0
안 불만 만족합니다,1.0
사이즈 딱 맞고 만족,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
추천합니다 편리하다,1.0
포장이 깔끔하다 상태 좋은,1.0
주변에 추천합니다 정말 좋은 제품,1.0
별로입니다 실망,0.0
배송 느리다 제품 불량 실망입니다,0.0
디자인이 좋은 가격도 만족,1.0
제품 품질이 매우 나쁘다 실망입니다,0.0
포장이 깔끔하다 상태 좋은,1.0
사용하기 편리하다 품질도 좋다,1.0
제품 품질이 좋습니다 배송도 빠르다,1.0
냄새 불편하다 품질 별로입니다,0.0
배송 빠르고 좋아요,
기대 이상으로 훌륭하다,1.0
포장이 깔끔하다 상태 좋은,1.0
